Date,Close
2020-06-06,9666.30000000
2020-06-07,9746.99000000
2020-06-08,9782.01000000
2020-06-09,9772.43000000
2020-06-10,9885.00000000
2020-06-11,9280.40000000
2020-06-12,9465.13000000
2020-06-13,9473.34000000
2020-06-14,9342.10000000
2020-06-15,9426.02000000
2020-06-16,9525.59000000
2020-06-17,9465.14000000
2020-06-18,9386.32000000
2020-06-19,9310.23000000
2020-06-20,9358.95000000
2020-06-21,9294.69000000
2020-06-22,9685.69000000
2020-06-23,9624.89000000
2020-06-24,9296.49000000
2020-06-25,9249.49000000
2020-06-26,9162.21000000
2020-06-27,9012.00000000
2020-06-28,9116.35000000
2020-06-29,9192.56000000
2020-06-30,9138.55000000
2020-07-01,9232.00000000
2020-07-02,9086.54000000
2020-07-03,9058.26000000
2020-07-04,9135.46000000
2020-07-05,9069.41000000
2020-07-06,9344.20000000
2020-07-07,9257.39000000
2020-07-08,9436.06000000
2020-07-09,9232.43000000
2020-07-10,9288.34000000
2020-07-11,9234.03000000
2020-07-12,9302.75000000
2020-07-13,9242.62000000
2020-07-14,9255.85000000
2020-07-15,9197.60000000
2020-07-16,9133.72000000
2020-07-17,9154.32000000
2020-07-18,9170.28000000
2020-07-19,9208.99000000
2020-07-20,9160.78000000
2020-07-21,9390.00000000
2020-07-22,9518.16000000
2020-07-23,9603.27000000
2020-07-24,9537.80000000
2020-07-25,9700.42000000
2020-07-26,9931.54000000
2020-07-27,11029.96000000
2020-07-28,10906.27000000
2020-07-29,11100.53000000
2020-07-30,11099.61000000
2020-07-31,11335.46000000
2020-08-01,11801.17000000
2020-08-02,11071.35000000
2020-08-03,11219.81000000
2020-08-04,11191.97000000
2020-08-05,11744.91000000
2020-08-06,11762.46000000
2020-08-07,11594.23000000
2020-08-08,11761.41000000
2020-08-09,11681.68000000
2020-08-10,11892.92000000
2020-08-11,11392.08000000
2020-08-12,11564.33000000
2020-08-13,11780.00000000
2020-08-14,11760.54000000
2020-08-15,11852.40000000
2020-08-16,11911.00000000
2020-08-17,12281.13000000
2020-08-18,11945.01000000
2020-08-19,11754.59000000
2020-08-20,11853.55000000
2020-08-21,11531.34000000
2020-08-22,11662.96000000
2020-08-23,11648.13000000
2020-08-24,11748.20000000
2020-08-25,11318.42000000
2020-08-26,11461.43000000
2020-08-27,11330.38000000
2020-08-28,11526.91000000
2020-08-29,11465.84000000
2020-08-30,11711.16000000
2020-08-31,11649.51000000
2020-09-01,11921.97000000
2020-09-02,11388.54000000
2020-09-03,10140.85000000
2020-09-04,10446.25000000
2020-09-05,10166.69000000
2020-09-06,10256.20000000
2020-09-07,10373.44000000
2020-09-08,10126.65000000
2020-09-09,10219.20000000
2020-09-10,10336.87000000
2020-09-11,10387.89000000
2020-09-12,10440.92000000
2020-09-13,10332.83000000
2020-09-14,10671.77000000
2020-09-15,10785.31000000
2020-09-16,10954.01000000
2020-09-17,10939.99000000
2020-09-18,10933.39000000
2020-09-19,11080.65000000
2020-09-20,10920.28000000
2020-09-21,10417.22000000
2020-09-22,10529.61000000
